Код;ОКВЭД;Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на теневые операции юридических лиц (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на операции неформального сектора экономики и на производство домашних хозяйств для собственного конечного использования (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами, в процентах к ВВП;year;source
Раздел I;Деятельность гостиниц и предприятий общественного питания;16,5;16;0,4;0,1;2016;NAs_08_2024
Раздел I;Деятельность гостиниц и предприятий общественного питания;15,8;15,4;0,4;0,1;2017;NAs_08_2024
Раздел I;Деятельность гостиниц и предприятий общественного питания;16,9;16,7;0,2;0,1;2018;NAs_08_2024
Раздел I;Деятельность гостиниц и предприятий общественного питания;15,5;15,3;0,2;0,1;2019;NAs_08_2024
Раздел I;Деятельность гостиниц и предприятий общественного питания;17,6;17,2;0,3;0,1;2020;NAs_08_2024
Раздел I;Деятельность гостиниц и предприятий общественного питания;16,9;16,7;0,3;0,1;2021;NAs_08_2024
Раздел I;Деятельность гостиниц и предприятий общественного питания;16,3;16;0,4;0,1;2022;NAs_08_2024
Раздел I;ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ;15,8;15,4;0,4;0,1;2017;NAs_08_2022
Раздел I;ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ;16,9;16,7;0,2;0,1;2018;NAs_08_2022
Раздел I;ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ;15,5;15,3;0,2;0,1;2019;NAs_08_2022
Раздел I;ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ;16,7;16,5;0,2;0,1;2020;NAs_08_2022
Раздел I;ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ;15,8;15,4;0,4;0,1;2017;NAs_07_2020
Раздел I;ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ;15,5;15,3;0,2;0,1;2018;NAs_07_2020
Раздел I;ТРАНСПОРТ И СВЯЗЬ;14;9;5;1,3;2002;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,8;8,9;4,9;1,3;2002;NA_2009
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,4;7,9;4,5;1,2;2003;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,4;7,9;4,5;1,2;2003;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,2;7,8;4,4;1,2;2003;NA_2009
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9,2;5,8;3,4;0,9;2004;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9,2;5,8;3,4;0,9;2004;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9,2;5,8;3,4;0,9;2004;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,3;6,9;3,4;1;2004;NA_2009
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,1;6,5;3,6;0,9;2005;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,1;6,5;3,6;0,9;2005;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,1;6,5;3,6;0,9;2005;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,1;6,5;3,6;0,9;2005;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,3;4,3;0,9;2005;NA_2009
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,4;4,2;0,9;2006;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,4;4,2;0,9;2006;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,4;4,2;0,9;2006;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,4;4,2;0,9;2006;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,4;4,2;0,9;2006;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,6;6,3;4,3;0,9;2006;NA_2009
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1;2007;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1;2007;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1;2007;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1;2007;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1;2007;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1;2007;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,8;6,3;4,5;0,9;2007;NA_2009
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;8,2;5,4;1,1;2008;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;8,2;5,4;1,1;2008;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;8,2;5,4;1,1;2008;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;8,2;5,4;1,1;2008;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;8,2;13,6;1,1;2008;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,8;8,3;5,5;1,1;2008;NA_2010
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;7,8;5,9;1,1;2009;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;7,8;5,9;1,1;2009;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;7,8;5,9;1,1;2009;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;7,8;5,9;1,1;2009;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;14,9;7,8;7,1;1,2;2009;NA_2011
Раздел I;ТРАНСПОРТ И СВЯЗЬ;11,8;8,4;3,3;0,9;2010;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;11,8;8,4;3,3;0,9;2010;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;11,8;8,4;3,3;0,9;2010;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;15,5;8,3;7,2;1,3;2010;NA_2012
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,9;4,5;4,4;0,6;2011;NA_2017
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,5;8,2;4,3;0,9;2011;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,5;8,2;4,3;0,9;2011;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,4;8,9;4,5;1;2011;NA_2013
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9;4,2;4,8;0,6;2012;NA_2017
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,2;7,7;4,4;0,9;2012;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,4;8,1;4,3;0,9;2012;NA_2014
Раздел I;ТРАНСПОРТ И СВЯЗЬ;6,7;2,4;4,3;0,5;2013;NA_2017
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,1;7,4;4,7;0,9;2013;NA_2015
Раздел I;ТРАНСПОРТ И СВЯЗЬ;6,9;2,1;4,8;0,5;2014;NA_2017
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9,8;4,9;4,9;0,7;2015;NA_2017
Раздел I;ТРАНСПОРТ И СВЯЗЬ;14,02667174;9,025010771;5,001660974;1,267498695;2002;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,38598612;7,908953681;4,477032441;1,166726393;2003;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9,170482624;5,790470464;3,380012161;0,884578493;2004;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,08451877;6,479018981;3,605499792;0,885266569;2005;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;10,62587502;6,418589045;4,207285971;0,887264465;2006;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,6;7,7;4,9;1,04354374;2007;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;8,2;5,4;1,076468568;2008;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;13,6;7,8;5,9;1,140857589;2009;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;11,8;8,4;3,3;0,929935599;2010;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;12,5;8,2;4,3;0,91982331;2011;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,9;4,5;4,4;0,582361183;2011_2;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9;4,2;4,8;0,591292717;2012;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;6,6;2,3;4,3;0,468661348;2013;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;6,8;2,1;4,7;0,467963649;2014;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;4,6;1,7;2,9;0,337069342;2015;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;4,3;3;1,2;0,330173411;2016;GVA_05_2021
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,9;4,5;4,4;0,6;2011;NAs_08_2018
Раздел I;ТРАНСПОРТ И СВЯЗЬ;9;4,2;4,8;0,6;2012;NAs_08_2018
Раздел I;ТРАНСПОРТ И СВЯЗЬ;6,7;2,4;4,3;0,5;2013;NAs_08_2018
Раздел I;ТРАНСПОРТ И СВЯЗЬ;6,9;2,1;4,8;0,5;2014;NAs_08_2018
Раздел I;ТРАНСПОРТ И СВЯЗЬ;4,6;1,6;2,9;0,3;2015;NAs_08_2018
Раздел I;ТРАНСПОРТ И СВЯЗЬ;5,2;2,2;2,9;0,4;2016;NAs_08_2018
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,7;4,3;4,4;0,6;2011;NAs_09_2016
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,8;4,1;4,7;0,6;2012;NAs_09_2016
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,3;3,9;4,4;0,6;2013;NAs_09_2016
Раздел I;ТРАНСПОРТ И СВЯЗЬ;8,5;4;4,5;0,5;2014;NAs_09_2016
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0;2017;NA_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0;2017;NA_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;3;3;0;0,1;2017;NA_2019
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2018;NA_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2018;NA_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2019;NA_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,7;1,7;0;0;2019;NA_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0;2020;NA_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2021;NA_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_02_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_02_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_02_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039401837;2020;GVA_02_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1;1;0;0,026198704;2021;GVA_02_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,4;1,4;0;0,03607657;2022;GVA_02_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_04_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_04_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_04_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039401837;2020;GVA_04_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1;1;0;0,026198704;2021;GVA_04_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,4;1,4;0;0,036139765;2022;GVA_04_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_12_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_12_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_12_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039401837;2020;GVA_12_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1;1;0;0,026198704;2021;GVA_12_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,4;1,4;0;0,03607657;2022;GVA_12_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_04_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_04_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_04_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039401837;2020;GVA_04_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,038494181;2021;GVA_04_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_02_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_02_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_02_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039401823;2020;GVA_02_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,038494181;2021;GVA_02_2023
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_12_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_12_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_12_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039401823;2020;GVA_12_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,038494181;2021;GVA_12_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_04_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_04_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_04_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039420625;2020;GVA_04_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_02_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_02_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_02_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039448203;2020;GVA_02_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_12_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035350288;2018;GVA_12_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,03912046;2019;GVA_12_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,039448203;2020;GVA_12_2021
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0,035374852;2017;GVA_04_2020
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0,035090815;2018;GVA_04_2020
Раздел J;Деятельность в области информации и связи;4,1;4,1;0;0,1;2016;NAs_08_2024
Раздел J;Деятельность в области информации и связи;1,5;1,5;0;0;2017;NAs_08_2024
Раздел J;Деятельность в области информации и связи;1,6;1,6;0;0;2018;NAs_08_2024
Раздел J;Деятельность в области информации и связи;1,6;1,6;0;0;2019;NAs_08_2024
Раздел J;Деятельность в области информации и связи;1,5;1,5;0;0;2020;NAs_08_2024
Раздел J;Деятельность в области информации и связи;1;1;0;0;2021;NAs_08_2024
Раздел J;Деятельность в области информации и связи;1,4;1,4;0;0;2022;NAs_08_2024
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0;2017;NAs_08_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2018;NAs_08_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2019;NAs_08_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0;2020;NAs_08_2022
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,5;1,5;0;0;2017;NAs_07_2020
Раздел J;ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ;1,6;1,6;0;0;2018;NAs_07_2020
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2002;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2002;NA_2009
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2003;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2003;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2003;NA_2009
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2004;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2004;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2004;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2004;NA_2009
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2005;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2005;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2005;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2005;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2005;NA_2009
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2006;NA_2014
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2006;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2006;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2006;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2006;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2006;NA_2009
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2015
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2014
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2007;NA_2009
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2008;NA_2015
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2008;NA_2014
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2008;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2008;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2008;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2008;NA_2010
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2009;NA_2015
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2009;NA_2014
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2009;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2009;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2009;NA_2011
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1,1;0;1,1;0;2010;NA_2015
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1,1;0;1,1;0;2010;NA_2014
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1,1;0;1,1;0;2010;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0;0;0;0;2010;NA_2012
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1;0;1;0;2011;NA_2017
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1;0;1;0;2011;NA_2015
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1;0;1;0;2011;NA_2014
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;1;0;1;0;2011;NA_2013
Раздел J;ФИНАНСОВАЯ ДЕЯТЕЛЬНОСТЬ;0,8;0;0,8;0;2012;NA_2017
